keyword,category,era,geo,surge_number,rough_peak_date,rel_to_anchor,data_mode,event_start_date,event_end_date,peak_value,peak_width_days,time_to_peak_days,tight_pad_days,width_truncated,possible_weekly_resolution,never_decays_in_scope
OTP,age_proxy,ai_gen,global,3,7/1/2026,1,plain text (no entity match found),4/2/2026,9/15/2026,100,166,97,90,1,0,1
Headcanon,age_proxy,ai_gen,global,1,6/1/2024,1,plain text (no entity match found),6/2/2024,6/18/2024,100,16,3,45,0,0,0
Brony,age_proxy,baseline,global,1,1/1/2015,1,plain text (no entity match found),1/1/2015,2/15/2015,100,45,17,45,1,0,1
Scene kid,age_proxy,baseline,global,1,4/1/2019,0.6667,plain text (no entity match found),4/22/2019,5/15/2019,100,23,6,45,0,0,0
Scene kid,age_proxy,reels_covid,global,2,7/1/2020,0.6667,plain text (no entity match found),12/29/2019,6/20/2021,100,539,210,360,1,1,1
Scene kid,age_proxy,ai_gen,global,3,6/1/2025,1,plain text (no entity match found),5/27/2025,7/1/2025,100,35,5,45,0,0,0
Isekai,age_proxy,reels_covid,global,1,7/1/2022,0.9341,plain text (no entity match found),5/27/2022,6/22/2022,100,26,3,45,0,0,0
Isekai,age_proxy,ai_gen,global,2,4/1/2023,1,plain text (no entity match found),1/1/2023,6/30/2023,100,180,93,90,1,0,1
Shonen,age_proxy,baseline,global,1,1/1/2015,0.619,plain text (no entity match found),1/1/2015,2/15/2015,100,45,0,45,1,0,1
Shonen,age_proxy,reels_covid,global,2,1/1/2021,0.9048,plain text (no entity match found),12/29/2019,12/18/2022,100,1085,357,720,1,1,1
Shonen,age_proxy,ai_gen,global,3,5/1/2026,1,plain text (no entity match found),11/2/2025,9/13/2026,100,315,245,180,1,1,1
Senpai,age_proxy,baseline,global,1,12/1/2018,0.5072,plain text (no entity match found),12/11/2016,12/29/2019,100,1113,742,720,1,1,1
Senpai,age_proxy,reels_covid,global,2,5/1/2021,1,plain text (no entity match found),12/29/2019,12/25/2022,100,1092,595,720,1,1,1
Senpai,age_proxy,ai_gen,global,3,12/1/2025,0.6522,plain text (no entity match found),12/1/2024,9/13/2026,100,651,385,360,1,1,1
Tsundere,age_proxy,ai_gen,global,1,5/1/2026,1,plain text (no entity match found),5/20/2026,5/30/2026,100,10,2,45,0,0,0
Yandere,age_proxy,baseline,global,1,6/1/2016,1,plain text (no entity match found),3/22/2015,12/29/2019,100,1743,147,1440,1,1,1
Yandere,age_proxy,reels_covid,global,2,7/1/2020,0.67,plain text (no entity match found),12/29/2019,6/20/2021,100,539,245,360,1,1,1
Yandere,age_proxy,ai_gen,global,3,6/1/2024,0.76,plain text (no entity match found),1/1/2023,5/17/2026,100,1232,266,720,1,1,1
Chibi,age_proxy,baseline,global,1,5/1/2015,1,"TOPIC entity ('Red Cliff', type=Film)",12/28/2014,10/25/2015,100,301,126,180,1,1,1
Chibi,age_proxy,reels_covid,global,2,1/1/2022,1,"TOPIC entity ('Red Cliff', type=Film)",12/31/2021,1/3/2022,100,3,1,45,0,0,0
Chibi,age_proxy,ai_gen,global,3,7/1/2023,0.6,"TOPIC entity ('Red Cliff', type=Film)",6/17/2023,8/31/2023,100,75,64,90,0,0,0
