keyword,category,era,sample_size_all,sample_size_shorts,sample_size_videos,above_threshold_all,above_threshold_shorts,above_threshold_videos,below_threshold_all,below_threshold_shorts,below_threshold_videos,pct_above_threshold_all,pct_above_threshold_shorts,pct_above_threshold_videos,median_views_all,median_views_shorts,median_views_videos,mean_views_all,mean_views_shorts,mean_views_videos,min_views_seen_all,min_views_seen_shorts,min_views_seen_videos,max_views_seen_all,max_views_seen_shorts,max_views_seen_videos,total_views_all,total_views_shorts,total_views_videos,error
Keyboard cat,age_proxy,ai_gen,351,266,85,267,202,65,84,64,20,76.1,75.9,76.5,1609,1792,1470,148036,191099,13274,0,0,16,22949328,22949328,573243,51960636,50832334,1128290,
Leeroy Jenkins,age_proxy,baseline,140,71,69,43,19,24,97,52,45,30.7,26.8,34.8,225,241,180,8524,9640,7376,5,6,5,459596,459596,188069,1193360,684440,508944,
Ligma,age_proxy,baseline,103,73,30,58,43,15,45,30,15,56.3,58.9,50,1948,2089,813,191952,41106,559012,19,19,40,10675037,1041548,10675037,19771056,3000738,16770360,
Loss (meme),age_proxy,baseline,200,185,15,29,27,2,171,158,13,14.5,14.6,13.3,81,82,42,61846,66686,2147,1,1,5,9874980,9874980,19578,12369200,12336910,32205,
Malding,age_proxy,baseline,203,116,87,48,25,23,155,91,64,23.6,21.6,26.4,147,131,158,29513,6561,60117,0,0,0,3208754,174893,3208754,5991139,761076,5230179,
Malding,age_proxy,ai_gen,242,145,97,201,118,83,41,27,14,83.1,81.4,85.6,7225,6907,7372,203571,310466,43781,1,1,9,9128283,9128283,1100188,49264182,45017570,4246757,
Malding,age_proxy,reels_covid,275,167,108,87,36,51,188,131,57,31.6,21.6,47.2,262,140,807,25275,16597,38695,0,2,0,1385445,860646,1385445,6950625,2771699,4179060,
Mewing,age_proxy,ai_gen,500,443,57,473,416,57,27,27,0,94.6,93.9,100,176065,208015,110008,2891349,3120329,1111731,13,13,3727,91954667,91954667,10364122,1445674500,1382305747,63368667,
MonkaS,age_proxy,baseline,500,250,250,148,37,111,352,213,139,29.6,14.8,44.4,131,78,613,89590,10266,168913,8,8,9,6552512,530430,6552512,44795000,2566500,42228250,
N00b,age_proxy,baseline,116,25,91,7,1,6,109,24,85,6,4,6.6,9,14,9,5691,129,7219,0,2,0,322815,1239,322815,660156,3225,656929,
Nae nae,age_proxy,baseline,450,281,169,442,276,166,8,5,3,98.2,98.2,98.2,57709,53245,84516,5896273,1239529,13639144,10,77,10,2015494423,59516743,2015494423,2653322850,348307649,2305015336,
Netflix and chill,age_proxy,baseline,500,272,228,216,95,121,284,177,107,43.2,34.9,53.1,547,307,1460,138423,148494,126409,3,3,9,12569388,12569388,3426259,69211500,40390368,28821252,
Nyan Cat,age_proxy,baseline,350,203,147,328,189,139,22,14,8,93.7,93.1,94.6,8331,7350,9059,566305,657839,439901,116,116,449,33782600,33782600,33352064,198206750,133541317,64665447,
O RLY,age_proxy,baseline,53,23,30,21,7,14,32,16,16,39.6,30.4,46.7,552,515,775,822436,7155,1447484,0,7,0,36080862,42024,36080862,43589108,164565,43424520,
Ok boomer,age_proxy,baseline,300,174,126,204,97,107,96,77,19,68,55.7,84.9,5744,2012,27112,289338,273654,310997,8,8,21,16098360,16098360,6288911,86801400,47615796,39185622,
